является, є
горах, горах
посетитель, відвідувач
ограничений, обмежень
конкретно, конкретно
замка, замку
обнаружены, виявлені
проблеме, проблеми
расширить, розширити
ошибка, помилка
движении, русі
повод, привід
использованы, використані
закрыть, закрити
преступление, злочин
курсов, курсів
чемпионом, чемпіоном
зеленый, зелений
тренировки, тренування
принципов, принципів
зерна, зерна
схемы, схеми
воспоминания, спогади
промышленной, промислової
объясняется, пояснюється
мечта, мрія
процедур, процедур
собственное, власне
визитом, візитом
игровой, ігровий
верно, вірно
сооружений, споруд
музыкальный, музичний
закончил, закінчив
включены, включені
зашли, зайшли
Франция, Франція
мужем, чоловіком
сделку, угоду
ощущения, відчуття
красота, краса
файлы, файли
экрана, екрану
продвижения, просування
посмотрите, подивіться
спикер, спікер
смело, сміливо
горных, гірських
проверку, перевірку
составляла, становила
летия, річчя
значительное, значне
ставку, ставку
судна, судна
Кишинева, Кишинева
реального, реального
возникли, виникли
современное, сучасне
передачу, передачу
пива, пива
ничто, ніщо
входящих, що входять
семьей, сім'єю
еду, їжу
считаем, вважаємо
отечественных, вітчизняних
протокол, протокол
тесно, тісно
жену, дружину
третьих, третє
служб, служб
вели, вели
европейским, європейським
экспедиции, експедиції
дай, дай
торговый, торговий
фамилия, прізвище
процедуру, процедуру
посетители, відвідувачі
пытаясь, намагаючись
Астана, Астана
местным, місцевим
взяла, взяла
крупным, великим
берут, беруть
находящихся, знаходяться
проблемам, проблемам
группировки, угруповання
целиком, цілком
лицу, особі
формой, формою
молодая, молода
кампания, кампанія
Бразилии, Бразилії
торговле, торгівлі
постоянный, постійний
тени, тіні
порта, порту
подобно, подібно
обеспечению, забезпечення
политическим, політичним
оказывать, надавати
номинации, номінації
цикла, циклу
сухой, сухий
культуру, культуру
краю, краю
легкой, легкої
благодарность, подяку
крем, крем
сертификат, сертифікат
настоящая, справжня
договорились, домовилися
ибн, ібн
девочек, дівчаток
смену, зміну
предназначены, призначені
вызвало, викликало
исторического, історичного
военную, військову
достижение, досягнення
продаю, продаю
узнали, дізналися
интересный, цікавий
учесть, врахувати
подтверждает, підтверджує
стандартов, стандартів
просим, просимо
посольство, посольство
предметом, предметом
уважаемые, шановні
мировом, світовому
ученый, вчений
аудио, аудіо
послать, послати
поступило, надійшло
украшения, прикраси
технический, технічний
камни, камені
столица, столиця
осадков, опадів
критики, критики
единый, єдиний
судно, судно
супруга, дружина
желающие, бажаючі
як, як
рыба, риба
концепция, концепція
объемом, об'ємом
распространяется, поширюється
продолжал, продовжував
простым, простим
низким, низьким
быстрый, швидкий
заплатить, заплатити
очистки, очищення
быстрого, швидкого
управлению, управління
родителями, батьками
бизнесе, бізнесі
новинки, новинки
происхождение, походження
километрах, кілометрах
здравствуйте, Добридень
соответствие, відповідність
обращении, зверненні
дабы, щоб
настройки, настройки
сахара, цукру
неправильно, неправильно
защищает, захищає
дополнительной, додаткової
музыкальных, музичних
диалога, діалогу
доклад, доповідь
войсками, військами
составило, склало
певица, співачка
компаниями, компаніями
напряжения, напруги
заняли, зайняли
численности, чисельності
предназначена, призначена
водителей, водіїв
властям, властям
рассчитывать, розраховувати
познакомиться, познайомитися
считали, вважали
столе, столі
свадьбы, весілля
фигуры, фігури
рассматривается, розглядається
заново, заново
олимпиады, олімпіади
обязанностей, обов'язків
открытом, відкритому
финала, фіналу
любому, будь-якого
лиге, лізі
сыграть, зіграти
блюд, страв
снега, снігу
наступление, наступ
белой, білої
спросил, запитав
ряды, ряди
настоящие, справжні
колонии, колонії
оперы, опери
инвалидов, інвалідів
полагает, вважає
построены, побудовані
положить, покласти
номере, номері
активного, активного
убийстве, вбивстві
компенсации, компенсації
мечети, мечеті
проживает, проживає
личное, приватне
учреждение, установа
глубине, глибині
напитки, напої
инфляции, інфляції
выражение, вираз
статистике, статистикою
единственной, єдиною
отказа, відмови
женской, жіночої
стене, стіні
залог, заставу
тихо, тихо
используйте, використовуйте
передач, передач
множества, безлічі
стратегия, стратегія
сделаны, зроблені
образовательных, освітніх
ищу, шукаю
филиала, філії
постройки, споруди
увеличилось, збільшилася
долгие, довгі
подписаться, підписатися
возможны, можливі
рынков, ринків
показания, показання
оставили, залишили
образовании, освіті
популярности, популярності
поняла, зрозуміла
стабильность, стабільність
покупка, покупка
пород, порід
гражданства, громадянства
баллов, балів
слову, слову
окружающих, оточуючих
поездка, поїздка
услышать, почути
сдать, здати
древней, давньої
требовать, вимагати
угрозой, загрозою
следующее, наступне
мамы, мами
провёл, провів
мужчину, чоловіка
разного, різного
допустить, допустити
использованию, використанню
рекламной, рекламної
достоинства, гідності
пиво, пиво
любил, любив
населением, населенням
всяком, усякому
моем, моєму
полезных, корисних
грузинского, грузинського
Австрии, Австрии
противном, іншому
половиной, половиною
проводиться, проводитися
передаче, передачі
документе, документі
производительность, продуктивність
передал, передав
актриса, актриса
увеличился, збільшився
непонятно, не зрозуміло
пакета, пакету
занимались, займалися
выполнены, виконані
художественной, художньої
сооружения, споруди
направлен, направлений
достигли, досягли
опубликовал, опублікував
объяснения, пояснення
подобный, подібний
отражает, відображає
саду, саду
московском, московському
подойдет, підійде
человеческой, людської
объяснил, пояснив
среда, середа
объявлен, оголошений
избранное, обране
специальное, спеціальне
полицейские, поліцейські
просмотров, переглядів
падает, падає
стоить, коштувати
тексты, тексти
страхование, страхування
ключевые, ключові
визы, візи
рекламных, рекламних
предотвратить, запобігти
денежные, грошові
действующих, діючих
контракта, контракту
разговора, розмови
природного, природного
подтверждение, підтвердження
дружбы, дружби
треть, третину
советом, радою
важность, важливість
собирать, збирати
силах, силах
пар, пар
Кыргызстана, Киргизстану
десятилетия, десятиліття
указана, вказана
реальных, реальних
западного, західного
терапии, терапії
островов, островів
вред, шкода
оборудованием, обладнанням
банковской, банківської
подразделений, підрозділів
вышло, вийшло
населению, населенню
кости, кістки
алкоголя, алкоголю
россияне, росіяни
легких, легких
сделок, угод
Армения, Вірменія
хлеба, хліба
особенность, особливість
марок, марок
правах, правах
евгения, євгенія
хозяев, господарів
вопреки, всупереч
весом, вагою
станций, станцій
распоряжение, розпорядження
кухне, кухні
ситуаций, ситуацій
деньгами, грошима
грудь, груди
предположить, припустити
сцену, сцену
двигателей, двигунів
волна, хвиля
заключил, уклав
сумов, сумів
традиций, традицій
призывает, закликає
вызвал, викликав
род, рід
горячей, гарячої
бытовой, побутової
билетов, квитків
понимания, розуміння
завершился, завершився
взаимодействие, взаємодія
категорически, категорично
ездить, їздити
неподалеку, неподалік
добычи, видобутку
действиях, діях
динамо, динамо
ведутся, ведуться
справа, справа
мусора, сміття
ноябрь, листопад
компьютеры, комп'ютери
информационные, інформаційні
владеет, володіє
спортивный, спортивний
кольцо, кільце
служат, служать
предположительно, імовірно
планете, планеті
открылся, відкрився
зарплата, зарплата
гонки, гонки
файлов, файлів
договоров, договорів
встретиться, зустрітися
важнейших, найважливіших
штат, штат
сведений, відомостей
качественные, якісні
всемирной, всесвітній
последующие, наступні
изучать, вивчати
выбрали, вибрали
рис, Рис
полицейских, поліцейських
говорим, говоримо
победитель, переможець
двоих, двох
совпадает, збігається
отопления, опалення
портале, порталі
сочетании, поєднанні
соседей, сусідів
сравнения, порівняння
древние, древні
взрослые, дорослі
признания, визнання
повезло, пощастило
некогда, колись
подписан, підписаний
дне, дні
путём, шляхом
став, ставши
уничтожить, знищити
салоне, салоні
претензии, претензії
институтов, інститутів
образцы, зразки
значительные, значні
кругу, колу
силе, силі
исключено, виключено
напряжение, напруга
домом, будинком
видами, видами
одних, одних
включить, увімкнути
авиабилеты, авіаквитки
проводились, проводились
гостям, гостям
ванной, ванній
символом, символом
взгляды, погляди
родов, пологів
утверждение, твердження
обстановке, обстановці
импорт, імпорт
применяют, застосовують
бесплатный, безкоштовний
механизмы, механізми
указать, вказати
справедливости, справедливості
судебных, судових
малой, малої
лучшая, найкраща
объемов, обсягів
учреждениях, установах
делах, справах
возник, виник
конкурентов, конкурентів
поход, похід
тратить, витрачати
надеется, сподівається
оплату, оплату
хозяина, господаря
предприятиях, підприємствах
сайтах, сайтах
расположенный, розташований
подготовить, підготувати
доказательства, докази
бригады, бригади
подал, подав
рек, річок
пациента, пацієнта
открытого, відкритого
подписания, підписання
воспитание, виховання
размещены, розміщені
попытался, спробував
сказки, казки
твои, твої
потеряли, втратили
помог, допоміг
государственную, державну
поступает, надходить
овощи, овочі
учебный, навчальний
ищут, шукають
круглый, круглий
ушли, пішли
хранить, зберігати
ходят, ходять
испытаний, випробувань
поначалу, спочатку
напитков, напоїв
приглашаем, запрошуємо
политик, політик
недостаток, недолік
студия, студія
регулирования, регулювання
праздником, святом
относиться, відноситися
опроса, опитування
научного, наукового
башни, вежі
справочнике, довіднику
содержать, містити
техническое, технічне
привлекает, привертає
сорта, сорту
постановлением, постановою
направлена, спрямована
старт, старт
объединяет, об'єднує
стандарты, стандарти
ситуациях, ситуаціях
оценивается, оцінюється
океана, океану
эффекта, ефекту
соответствующего, відповідного
работах, роботах
поселке, селищі
применении, застосуванні
мышцы, м'язи
грани, грані
выразить, висловити
сильного, сильного
разговоры, розмови
автомобиле, автомобілі
смены, зміни
задание, завдання
славы, слави
занятие, заняття
свободных, вільних
клубы, клуби
южного, південного
установленном, встановленому
выиграть, виграти
вошла, увійшла
произошли, відбулися
производственных, виробничих
обед, обід
направлению, напрямку
иванов, иванов
участках, ділянках
научный, науковий
темпы, темпи
подтвердили, підтвердили
широкого, широкого
утверждения, затвердження
городские, міські
средством, засобом
солдаты, солдати
минус, мінус
животного, тваринного
делегация, делегація
расчет, розрахунок
впечатления, враження
фунтов, фунтів
позволят, дозволять
обновления, поновлення
газет, газет
читайте, читайте
угроза, загроза
разнообразные, різноманітні
осуществление, здійснення
летних, літніх
дальнейшей, подальшої
главу, главу
штатов, штатів
качеству, якості
корпорация, корпорація
изданий, видань
лекарства, ліки
реку, річку
туристы, туристи
маленькой, маленької
знала, знала
государстве, державі
постоянное, постійне
опрошенных, опитаних
проведению, проведення
стадионе, стадіоні
предпочтение, перевагу
деталям, деталей
грузинских, грузинських
акционеров, акціонерів
называемый, званий
звуки, звуки
вопросами, питаннями
получали, отримували
голосование, голосування
сообщению, повідомленням
комплексе, комплексі
договору, договору
эмоций, емоцій
произведение, твір
массовых, масових
профессионалов, професіоналів
избирательной, виборчої
мобильные, мобільні
возможна, можлива
экспертизы, експертизи
соответствовать, відповідати
дворце, палаці
обнаружил, виявив
уважение, повага
считая, вважаючи
событиях, події
исключения, виключення
вод, вод
регионы, регіони
мониторинга, моніторингу
бензин, бензин
тюрьме, в'язниці
работника, працівника
огромной, величезною
иными, іншими
африки, африки
автономии, автономії
ногами, ногами
классы, класи
коммуникации, комунікації
науке, науці
подхода, підходу
общественно, суспільно
изучению, вивченню
выполнен, виконаний
интереса, інтересу
выходе, виході
столкновения, зіткнення
стараются, намагаються
побережья, узбережжя
транспортного, транспортного
некий, якийсь
лекции, лекції
овощей, овочів
смеси, суміші
коммерческой, комерційної
видела, бачила
экономическое, економічне
обамы, Обами
называемые, звані
метода, методу
императора, імператора
переходит, переходить
указав, вказавши
праву, праву
измерения, виміру
читал, читав
атаку, атаку
печени, печінки
гостинице, готелі
чувств, почуттів
принадлежности, приладдя
популярные, популярні
губернии, губернії
трудового, трудового
нос, ніс
кондиционер, кондиціонер
краски, фарби
вел, вів
активной, активної
являетесь, є
отправиться, відправитися
построено, побудовано
инициативу, ініціативу
электронные, електронні
семейства, сімейства
трассы, траси
давлением, тиском
вызов, виклик
сильное, сильне
расположенных, розташованих
возможное, можливе
готовит, готує
отнюдь, аж ніяк
крест, хрест
гостиница, готель
корабли, кораблі
соответствующей, відповідної
укреплению, зміцненню
ошибку, помилку
митинг, мітинг
замена, заміна
посетили, відвідали
американцев, американців
отдельный, окремий
популярностью, популярністю
стремительно, стрімко
ресторанов, ресторанів
компьютерной, комп'ютерної
несут, несуть
устраивает, влаштовує
сложной, складної
зовут, звуть
полезно, корисно
гимназии, гімназії
республику, республіку
народы, народи
золотые, золоті
Афганистан, Афганістан
разработать, розробити
смотрел, дивився
Минске, Мінську
Литва, Литва
формата, формату
неверные, невірні
медицинские, медичні
чистый, чистий
необходимой, необхідної
достигла, досягла
направить, направити
нанести, нанести
коже, шкірі
закрытия, закриття
проявляется, проявляється
основа, основа
маршруту, маршруту
крупнейший, найбільший
деловых, ділових
венгрии, венгрии
примере, прикладі
паспорта, паспорта
совместных, спільних
превращается, перетворюється
поселка, селища
жертвы, жертви
навстречу, назустріч
духовной, духовної
Кавказа, Кавказу
лечении, лікуванні
инфекции, інфекції
эффективной, ефективної
банковских, банківських
компоненты, компоненти
средние, середні
открытой, відкритої
разработана, розроблена
короткие, короткі
содействие, сприяння
морского, морського
Париж, Париж
собственным, власним
святых, святих
рассматривает, розглядає
оплатить, оплатити
туризм, туризм
руке, руці
навыков, навичок
готовят, готують
возможен, можливий
рыбу, рибу
оставалось, залишалося
мероприятиях, заходах
проведен, проведено
персонажей, персонажів
международное, міжнародне
бассейна, басейну
расчета, розрахунку
разработчики, розробники
распоряжении, розпорядженні
гарантия, гарантія
признаков, ознак
максимальная, максимальна
наступает, настає
союзе, союзі
поговорить, поговорити
лучшую, кращу
образованию, утворенню
альянс, альянс
продаются, продаються
оставался, залишався
использовал, використовував
указал, вказав
инициатива, ініціатива
друзьям, друзям
ситуацией, ситуацією
весны, весни
звонок, дзвінок
сериал, серіал
домашнего, домашнього
близ, поблизу
упражнения, вправи
духе, дусі
судебной, судової
округе, окрузі
оказывают, надають
отправляется, відправляється
заявлений, заяв
хозяева, господарі
соли, солі
потребностей, потреб
наличия, наявності
допускается, допускається
выдачи, видачі
британской, британської
уровней, рівнів
камеру, камеру
комфорт, комфорт
живописи, живопису
сидел, сидів
исламского, ісламського
гриппа, грипу
восточного, східного
российское, російське
рака, раку
обойтись, обійтися
объектом, об'єктом
ресторана, ресторану
кольца, кільця
услугам, послуг
радостью, радістю
инженер, інженер
ведомств, відомств
запуск, запуск
особую, особливу
обычного, звичайного
движений, рухів
гектаров, гектарів
диски, диски
камней, каменів
выберите, Виберіть
принес, приніс
известность, популярність
листья, листя
стенах, стінах
работник, працівник
вину, провину
причину, причину
полковник, полковник
различия, відмінності
писали, писали
творческих, творчих
смена, зміна
показано, показано
раздела, розділу
активы, активи
потерять, втратити
национальное, національне
клиники, клініки
различной, різної
памятники, пам'ятники
декларации, декларації
огромную, величезну
мэрии, мерії
сильных, сильних
немецкие, німецькі
веру, віру
номером, номером
слева, ліворуч
пособия, посібники
известная, відома
проходила, проходила
зависимость, залежність
финансово, фінансово
физики, фізики
соперника, суперника
плоды, плоди
частной, приватної
преддверии, напередодні
культурно, культурно
красивая, красива
боевые, бойові
музыкальной, музичної
коррупцией, корупцією
миссия, місія
соседних, сусідніх
плотность, густина
прокурор, прокурор
освещения, освітлення
подчеркивает, підкреслює
боятся, бояться
потенциальных, потенційних
проведено, проведено
находят, знаходять
сдачи, здачі
рейтинга, рейтингу
основанием, підставою
представителем, представником
давали, давали
собрал, зібрав
повышенной, підвищеної
конституционного, конституційного
системах, системах
бюджетных, бюджетних
выглядят, виглядають
приобретает, набуває
предприниматели, підприємці
женщиной, жінкою
счете, рахунку
культурной, культурної
игрой, грою
завершить, завершити
сохранились, збереглися
соотечественников, співвітчизників
сериала, серіалу
направлено, направлено
рыб, риб
интерфейс, інтерфейс
интересам, інтересам
полезные, корисні
заказчика, замовника
риски, ризики
практику, практику
придает, надає
санкций, санкцій
указом, указом
положительно, позитивно
победить, перемогти
великих, великих
надеяться, сподіватися
успехи, успіхи
обновление, оновлення
конфликтов, конфліктів
операционной, операційної
сравнении, порівняно
широкое, широке
посвященный, присвячений
подскажите, підкажіть
ужин, вечеря
страха, страху
молдавской, молдавської
зрители, глядачі
большего, більшого
чистая, чиста
Кавказе, Кавказі
тяжелые, важкі
спасения, порятунку
народом, народом
федерация, федерація
оснований, підстав
небольшим, невеликим
молдавских, молдавських
заметили, помітили
будущей, майбутньої
звания, звання
психологии, психології
высотой, висотою
Кореи, Кореї
экономическая, економічна
файл, файл
ткань, тканина
свидетельство, свідоцтво
конструкций, конструкцій
варианта, варіанти
установления, встановлення
душ, душ
традиционные, традиційні
стояла, стояла
большому, великому
Украиной, Україна
попробуйте, спробуйте
фотографиями, фотографіями
пенсию, пенсію
поэзии, поезії
екатерина, катерина
звука, звуку
юнеско, юнеско
потребовал, зажадав
строй, лад
хватило, вистачило
премия, премія
спортом, спортом
собрании, зборах
зарегистрированные, зареєстровані
балтии, Балтії
сохранять, зберігати
потребление, споживання
партнер, партнер
западные, західні
качественный, якісний
инструкции, інструкції
довольны, задоволені
водных, водних
бывшей, колишньої
разное, різний
боится, боїться
сравнить, порівняти
сохраняется, зберігається
рисунок, малюнок
народные, народні
всякого, всякого
сторонники, прихильники
атмосфера, атмосфера
портрет, портрет
полета, польоту
орденом, орденом
находящиеся, що знаходяться
концерты, концерти
вреда, шкоди
официальное, офіційне
надолго, надовго
рука, рука
мышц, м'язів
единства, єдності
сестры, сестри
рабочим, робочим
убрать, прибрати
вячеслав, вячеслав
принципиально, принципово
красоту, красу
кадры, кадри
отправились, вирушили
вызвали, викликали
отказывается, відмовляється
задолженности, заборгованості
посвящена, присвячена
плохой, поганий
музыке, музиці
победил, переміг
центру, центру
кровати, ліжка
низкий, низький
судебного, судового
приняло, прийняло
коммунисты, комуністи
документации, документації
заказов, замовлень
ждем, чекаємо
больного, хворого
трассе, трасі
привыкли, звикли
смотря, дивлячись
центральная, центральна
страховой, страхової
осени, осені
промышленного, промислового
площадка, майданчик
здорово, здорово
армян, вірмен
знаки, знаки
активные, активні
президенте, президенті
подобной, подібної
Евросоюз, Євросоюз
ходом, ходом
успешного, успішного
сложный, складний
животное, тварина
точный, точний
положительные, позитивні
принести, принести
высоту, висоту
студент, студент
яркий, яскравий
саммита, саміту
роберт, роберт
советское, радянських
четверо, четверо
рабочая, робоча
советская, радянська
мышления, мислення
катастрофы, катастрофи
столом, столом
музыкантов, музикантів
политическое, політичне
действием, дією
легкий, легкий
текстов, текстів
древнего, стародавнього
патриарх, патріарх
увидев, побачивши
продавец, продавець
нижний, нижній
ставят, ставлять
останутся, залишаться
семинара, семінару
огромная, величезна
коллегами, колегами
сотрудничать, співпрацювати
отделении, відділенні
длинные, довгі
проблемах, проблемах
неделя, тиждень
раннего, раннього
таджикские, таджицькі
судьбе, долі
предыдущего, попереднього
семейного, сімейного
местными, місцевими
марина, марина
акты, акти
серьезный, серйозний
тарифов, тарифів
лев, лев
госдумы, держдуми
устанавливать, встановлювати
популярной, популярної
коем, жодному
сэкономить, заощадити
продолжил, продовжив
арест, арешт
докладе, доповіді
уникальные, унікальні
соль, сіль
пунктах, пунктах
правилами, правилами
гимпу, Гімпу
физические, фізичні
полосы, смуги
зарегистрироваться, зареєструватися
пыли, пилу
вернулась, повернулася
совершать, здійснювати
забудьте, забудьте
выделено, виділено
обсуждать, обговорювати
наверно, напевно
заключенных, укладених
попадают, потрапляють
запас, запас
районного, районного
матчах, матчах
похож, схожий
электронный, електронний
победители, переможці
Канады, Канади
завтрак, сніданок
показывать, показувати
признался, зізнався
поселения, поселення
органом, органом
одинаково, однаково
гость, гість
рекламе, рекламі
немцев, німців
комментировать, коментувати
забыли, забули
удачно, вдало
прямых, прямих
груза, вантажу
успешной, успішної
приводят, призводять
ядерной, ядерної
сервер, сервер
младший, молодший
направлениям, напрямками
появиться, з'явитися
тока, струму
йорк, йорк
исполнителей, виконавців
женского, жіночого
снизился, знизився
жила, жила
понимаете, розумієте
хранение, зберігання
платья, сукні
основано, засноване
четырёх, чотирьох
установке, установці
проводили, проводили
крае, краї
заявок, заявок
заявляют, заявляють
здорового, здорового
химии, хімії
улучшению, поліпшенню
гражданство, громадянство
крупной, великої
картинки, картинки
гражданами, громадянами
исполнительный, виконавчий
назван, названий
опубликованы, опубліковані
механизма, механізму
верю, вірю
темой, темою
разному, різному
стандарт, стандарт
Латвия, Латвия
аккуратно, акуратно
содержанием, вмістом
ждали, чекали
тридцать, тридцять
сообщениях, повідомленнях
начальником, начальником
обратите, зверніть
Ираке, Іраку
транспортные, транспортні
близким, близьким
облик, вигляд
сельских, сільських
определенного, певного
людях, людях
каналы, канали
салона, салону
привела, привела
плен, полон
увидите, побачите
покупателя, покупця
южном, південному
прогресс, прогрес
требованиями, вимогами
ум, розум
сильной, сильною
предоставлении, надання
произвести, провести
коммуникаций, комунікацій
музыканты, музиканти
уделяется, приділяється
специальным, спеціальним
конкретного, конкретного
ярких, яскравих
физического, фізичного
минобороны, міноборони
массового, масового
пострадал, постраждав
кресло, крісло
ближнего, ближнього
тяжелых, важких
прочего, іншого
огромным, величезним
позволили, дозволили
нужды, потреби
увеличивает, збільшує
подчеркнуть, підкреслити
традиционной, традиційної
таможенных, митних
поступать, надходити
отказалась, відмовилася
изучить, вивчити
административный, адміністративний
подобная, подібна
центральном, центральному
способствуют, сприяють
снижению, зниження
составлять, складати
параметров, параметрів
дополнение, доповнення
верхнем, верхньому
располагает, має
заключении, укладанні
стремятся, прагнуть
тысячу, тисячу
опрос, опитування
прямом, прямому
планирование, планування
режиссера, режисера
неактуальное, неактуальне
литовской, литовської
объявляет, оголошує
нести, нести
фруктов, фруктів
осуществляться, здійснюватися
возрождения, відродження
весело, весело
реакцию, реакцію
жительства, проживання
механизмов, механізмів
максимальной, максимальної
долги, борги
видимому, мабуть
опубликована, опублікована
любимых, улюблених
устроить, влаштувати
соединенных, з'єднаних
инвесторы, інвестори
состоялись, відбулися
латвийской, латвійської
индивидуальный, індивідуальний
компьютере, комп'ютері
использовались, використовувалися
агентству, агентству
перешел, перейшов
существовать, існувати
деятель, діяч
автомобильных, автомобільних
столичного, столичного
корни, коріння
прокурора, прокурора
врачу, лікаря
иным, іншим
законе, законі
холодильник, холодильник
аспекты, аспекти
опасных, небезпечних
недовольство, невдоволення
давай, давай
делами, справами
покупатель, покупець
